sku_id,product_name,category,sub_category,brand,product_type,size_label,launch_date,shelf_life_months,parent_sku,default_price,primary_supplier_id,is_active,country_of_origin,online_only,avg_rating,rating_count,is_discontinued
sku9310518635,garnier sunscreen 50ml,beauty,skincare & cosmetics,garnier,sunscreen,50ml,2019-04-22,18.0,sku5304202933,17.74,200139,true,uk,false,3.93,73,false
sku4171552432,sony usb charger 33w,electronics accessories,gadgets,sony,usb charger,33w,2016-04-24,,sku1416947255,41.2,200991,true,us,false,4.48,56,false
sku0908706868,h&m home bath towel standard,home & living,home essentials,h&m home,bath towel,standard,2019-04-05,,,22.19,200914,true,us,true,4.11,137,false
sku4352719472,samsung wireless earbuds standard,electronics accessories,gadgets,samsung,wireless earbuds,standard,2016-11-06,,,43.11,200914,true,fr,false,3.61,36,false
sku3856506982,anker wireless earbuds standard,electronics accessories,gadgets,anker,wireless earbuds,standard,2022-02-28,,,40.42,200924,true,fr,false,4.47,214,false
sku2382683178,h&m home bath towel standard,home & living,home essentials,h&m home,bath towel,standard,2015-06-27,,,47.2,200914,true,cn,true,3.56,227,false
sku0854478449,persil laundry detergent 1.5kg,home care,cleaning supplies,persil,laundry detergent,1.5kg,2015-12-16,,sku3543128798,7.9,200991,true,th,false,4.55,446,false
sku3750227445,pantene shampoo 300ml,personal care,toiletries & bath,pantene,shampoo,300ml,2022-04-09,24.0,,5.89,200090,true,vn,false,4.19,408,false
sku9268292227,nike running shoes standard,sports & lifestyle,sports gear,nike,running shoes,standard,2019-02-08,,,60.44,200439,true,vn,false,4.17,275,false
sku6453037202,la roche-posay moisturizer 50ml,beauty,skincare & cosmetics,la roche-posay,moisturizer,50ml,2017-10-20,,sku6392899805,12.26,200232,true,de,false,4.64,281,true
sku8112255921,milo chocolate snack 100g,food & beverage,groceries,milo,chocolate snack,100g,2021-06-25,,sku5712990157,3.87,200439,true,my,false,3.34,153,false
sku8528433028,samsung wireless earbuds standard,electronics accessories,gadgets,samsung,wireless earbuds,standard,2022-05-05,,sku3644753717,87.92,200271,true,jp,false,3.54,271,false
sku5230183443,pantene conditioner 500ml,personal care,toiletries & bath,pantene,conditioner,500ml,2016-08-27,36.0,,10.32,200991,true,uk,false,4.0,111,false
sku8231364505,puma gym towel standard,sports & lifestyle,sports gear,puma,gym towel,standard,2017-12-11,,,105.32,200889,true,vn,false,3.44,321,false
