sku_id,product_name,category,sub_category,brand,product_type,is_active,is_discontinued
sku9310518635,garnier sunscreen 50ml,beauty,skincare & cosmetics,garnier,sunscreen,true,false
sku4171552432,sony usb charger 33w,electronics accessories,gadgets,sony,usb charger,true,false
sku0908706868,h&m home bath towel standard,home & living,home essentials,h&m home,bath towel,true,false
sku4352719472,samsung wireless earbuds standard,electronics accessories,gadgets,samsung,wireless earbuds,true,false
sku3856506982,anker wireless earbuds standard,electronics accessories,gadgets,anker,wireless earbuds,true,false
sku2382683178,h&m home bath towel standard,home & living,home essentials,h&m home,bath towel,true,false
sku0854478449,persil laundry detergent 1.5kg,home care,cleaning supplies,persil,laundry detergent,true,false
sku3750227445,pantene shampoo 300ml,personal care,toiletries & bath,pantene,shampoo,true,false
sku9268292227,nike running shoes standard,sports & lifestyle,sports gear,nike,running shoes,true,false
sku6453037202,la roche-posay moisturizer 50ml,beauty,skincare & cosmetics,la roche-posay,moisturizer,true,true
sku8112255921,milo chocolate snack 100g,food & beverage,groceries,milo,chocolate snack,true,false
sku8528433028,samsung wireless earbuds standard,electronics accessories,gadgets,samsung,wireless earbuds,true,false
sku5230183443,pantene conditioner 500ml,personal care,toiletries & bath,pantene,conditioner,true,false
sku8231364505,puma gym towel standard,sports & lifestyle,sports gear,puma,gym towel,true,false
sku9965766197,l'oreal sunscreen 50ml,beauty,skincare & cosmetics,l'oreal,sunscreen,true,false
sku7344804846,kellogg's instant coffee 100g,food & beverage,groceries,kellogg's,instant coffee,true,false
sku9363753849,shiseido lip balm standard,beauty,skincare & cosmetics,shiseido,lip balm,true,false
sku3644753717,milo bottled water 500ml,food & beverage,groceries,milo,bottled water,true,false
sku0576803263,kellogg's instant coffee 200g,food & beverage,groceries,kellogg's,instant coffee,true,false
sku0546697323,cadbury bottled water 500ml,food & beverage,groceries,cadbury,bottled water,true,false
sku0829864965,nescafe bottled water 1.5l,food & beverage,groceries,nescafe,bottled water,true,false
sku2121149634,philips power bank 10000mah,electronics accessories,gadgets,philips,power bank,true,false
sku1210580490,ikea bedsheet set king,home & living,home essentials,ikea,bedsheet set,true,false
sku6702938185,shiseido lip balm standard,beauty,skincare & cosmetics,shiseido,lip balm,true,false
sku6218840657,milo chocolate snack 100g,food & beverage,groceries,milo,chocolate snack,true,false
sku6029491140,kellogg's bottled water 500ml,food & beverage,groceries,kellogg's,bottled water,true,false
sku1416947255,comfort dishwashing liquid 750ml,home care,cleaning supplies,comfort,dishwashing liquid,true,false
sku6392899805,sony wireless earbuds standard,electronics accessories,gadgets,sony,wireless earbuds,true,false
sku0108578252,la roche-posay lip balm standard,beauty,skincare & cosmetics,la roche-posay,lip balm,true,false
sku8857641203,h&m home storage box small,home & living,home essentials,h&m home,storage box,true,false
sku5798668944,lifebuoy toothpaste 100g,personal care,toiletries & bath,lifebuoy,toothpaste,true,false
sku1221944611,vim laundry detergent 2.5kg,home care,cleaning supplies,vim,laundry detergent,true,false
sku8599193589,kellogg's chocolate snack 100g,food & beverage,groceries,kellogg's,chocolate snack,true,false
sku3520922309,muji led desk lamp standard,home & living,home essentials,muji,led desk lamp,true,false
sku9907227021,comfort dishwashing liquid 500ml,home care,cleaning supplies,comfort,dishwashing liquid,true,false
sku8356321282,adidas running shoes standard,sports & lifestyle,sports gear,adidas,running shoes,true,false
sku3681436675,l'oreal moisturizer 50ml,beauty,skincare & cosmetics,l'oreal,moisturizer,true,false
sku5569667576,muji bedsheet set single,home & living,home essentials,muji,bedsheet set,true,false
sku0221710278,la roche-posay lip balm standard,beauty,skincare & cosmetics,la roche-posay,lip balm,true,false
sku5304202933,persil air freshener 300ml,home care,cleaning supplies,persil,air freshener,true,false
sku6955836996,adidas running shoes standard,sports & lifestyle,sports gear,adidas,running shoes,true,false
sku6171745695,puma gym towel standard,sports & lifestyle,sports gear,puma,gym towel,true,false
sku9112068923,samsung power bank 10000mah,electronics accessories,gadgets,samsung,power bank,true,false
sku2767416311,xiaomi wireless earbuds standard,electronics accessories,gadgets,xiaomi,wireless earbuds,true,false
sku1691039685,l'oreal facial cleanser 100ml,beauty,skincare & cosmetics,l'oreal,facial cleanser,true,false
sku7213167310,milo breakfast cereal 500g,food & beverage,groceries,milo,breakfast cereal,true,false
sku7140396225,garnier moisturizer 50ml,beauty,skincare & cosmetics,garnier,moisturizer,true,false
sku4471900304,philips bluetooth speaker standard,electronics accessories,gadgets,philips,bluetooth speaker,true,false
sku5748392854,oreo chocolate snack 100g,food & beverage,groceries,oreo,chocolate snack,true,false
sku5468002294,lifebuoy deodorant 50ml,personal care,toiletries & bath,lifebuoy,deodorant,true,false
sku2614716610,h&m home storage box small,home & living,home essentials,h&m home,storage box,true,false
sku9602280382,pantene toothpaste 150g,personal care,toiletries & bath,pantene,toothpaste,true,false
sku0409524346,persil air freshener 300ml,home care,cleaning supplies,persil,air freshener,true,false
sku5966165534,la roche-posay facial cleanser 100ml,beauty,skincare & cosmetics,la roche-posay,facial cleanser,true,false
sku4250546449,garnier moisturizer 50ml,beauty,skincare & cosmetics,garnier,moisturizer,true,false
sku5257232418,comfort air freshener 300ml,home care,cleaning supplies,comfort,air freshener,true,false
sku2377703159,adidas yoga mat 4mm,sports & lifestyle,sports gear,adidas,yoga mat,true,false
sku8185788985,puma running shoes standard,sports & lifestyle,sports gear,puma,running shoes,true,false
sku3543128798,l'oreal moisturizer 50ml,beauty,skincare & cosmetics,l'oreal,moisturizer,true,false
sku6941397148,colgate toothpaste 150g,personal care,toiletries & bath,colgate,toothpaste,true,false
sku6729730365,oreo instant coffee 200g,food & beverage,groceries,oreo,instant coffee,true,false
sku7046448675,decathlon water bottle 1l,sports & lifestyle,sports gear,decathlon,water bottle,true,false
sku2528477072,decathlon yoga mat 4mm,sports & lifestyle,sports gear,decathlon,yoga mat,true,false
sku0689086449,muji led desk lamp standard,home & living,home essentials,muji,led desk lamp,true,false
sku6697464014,colgate conditioner 500ml,personal care,toiletries & bath,colgate,conditioner,true,false
sku1707364631,dettol laundry detergent 1.5kg,home care,cleaning supplies,dettol,laundry detergent,true,false
sku7805936521,pantene shampoo 300ml,personal care,toiletries & bath,pantene,shampoo,true,false
sku3182306683,nike yoga mat 4mm,sports & lifestyle,sports gear,nike,yoga mat,true,false
sku7747584994,puma gym towel standard,sports & lifestyle,sports gear,puma,gym towel,true,false
sku9291875748,harpic air freshener 300ml,home care,cleaning supplies,harpic,air freshener,true,false
sku3008428936,persil air freshener 300ml,home care,cleaning supplies,persil,air freshener,true,false
sku8394486225,ikea bath towel standard,home & living,home essentials,ikea,bath towel,true,false
sku9988997641,comfort laundry detergent 1.5kg,home care,cleaning supplies,comfort,laundry detergent,true,false
sku3227361861,philips usb charger 20w,electronics accessories,gadgets,philips,usb charger,true,false
sku3306844945,comfort laundry detergent 2.5kg,home care,cleaning supplies,comfort,laundry detergent,true,false
sku0158772236,garnier lip balm standard,beauty,skincare & cosmetics,garnier,lip balm,true,false
sku0376395903,xiaomi power bank 10000mah,electronics accessories,gadgets,xiaomi,power bank,true,false
sku5712990157,lux deodorant 150ml,personal care,toiletries & bath,lux,deodorant,true,false
sku4811414032,h&m home bedsheet set king,home & living,home essentials,h&m home,bedsheet set,true,false
sku0207806619,neutrogena sunscreen 50ml,beauty,skincare & cosmetics,neutrogena,sunscreen,true,false
